,root,virality,volume
355,"['1008360873558200325', '1008361173287399424']",1.0,1
356,"['1008358495530422272', '1008358501872275457']",10.0,4
357,"['1008359947128565760', '1008360246698377216']",1.0,1
358,"['1008357858818383872', '1008365661834350592']",81.0,9
359,"['1008361131755425795', '1008361834460655617']",9.0,3
360,"['1008360926234308608', '1008361488136822786']",20.0,9
361,"['1008364977575510016', '1008369074231865344']",1.0,1
362,"['1008367486268518401', '1008369089751015425']",1.0,1
363,"['1008368634153127936', '1008368967180832768']",1.0,1
364,"['1008368693057814529', '1008368979168124934']",4.0,2
365,"['1008357445154963456', '1008360537049083906']",1.0,1
366,"['1008357022671110149', '1008360546809180161']",1.0,1
367,"['1008358606033620992', '1008363253880238080']",25.0,5
368,"['1008358400718229504', '1008361872435961856']",1.0,1
369,"['1008361512010952705', '1008361897127636993']",1.0,1
370,"['1008367420531191810', '1008367856680079360']",1.0,1
371,"['1008367124157431809', '1008367592724049922']",49.0,7
372,"['1008360111126048768', '1008362142343540737']",20.0,9
373,"['1008359783051587585', '1008360720470167553']",20.0,9
374,"['1008357858818383872', '1008365661834350592']",81.0,9
375,"['1008357013921951746', '1008360739546058752']",1.0,1
376,"['1008360738648444928', '1008360740623933440']",84.0,197
377,"['1008362698319462403', '1008363726074937344']",1.0,1
378,"['1008367719849185281', '1008368105930625029']",1.0,1
379,"['1008363052134227969', '1008364650264743936']",4.0,2
380,"['1008363578578137089', '1008364651896279040']",10.0,4
381,"['1008356807729967111', '1008357475823816705']",1.0,1
382,"['1008360334955032576', '1008360865572278273']",1.0,1
383,"['1008360748123336704', '1008360892176756742']",1.0,1
384,"['1008356796480806912', '1008357808943878144']",10.0,4
385,"['1008367914133671954', '1008368756375130112']",1.0,1
386,"['1008364707500130306', '1008366391941005312']",81.0,9
387,"['1008366535574990849', '1008368766848204800']",4.0,2
388,"['1008368372042436609', '1008368769268252672']",10.0,4
389,"['1008366733571346432', '1008368774746202112']",1.0,1
390,"['1008364089238794241', '1008365799319449600']",1.0,1
391,"['1008364649987878912', '1008365812858736640']",4.0,2
392,"['1008361894036606976', '1008365819028430854']",1.0,1
393,"['1008365588626829312', '1008366252371218432']",9.0,3
394,"['1008364437571395584', '1008365825336619008']",1.0,1
395,"['1008365411988013057', '1008366851766681600']",100.0,10
396,"['1008357043621777408', '1008357311721635841']",1.0,1
397,"['1008359075162226688', '1008368736590589953']",16.0,4
398,"['1008359199594700805', '1008360318182051842']",81.0,9
399,"['1008357507184685056', '1008359785975177217']",1.0,1
400,"['1008359228246036485', '1008359597927747584']",1.0,1
401,"['1008358604196347904', '1008359633503825922']",1.0,1
402,"['1008358972552773634', '1008359635198398464']",1.0,1
403,"['1008358855837794306', '1008364429501698050']",49.0,7
404,"['1008359269731848192', '1008359462091059206']",1.0,1
405,"['1008359118434754560', '1008359466427822080']",1.0,1
406,"['1008357830271750144', '1008358014905090048']",1.0,1
407,"['1008359819894378501', '1008360064200073217']",1.0,1
408,"['1008356707851005952', '1008356805322428416']",1.0,1
409,"['1008359267819286528', '1008359270977597441']",1.0,1
410,"['1008358850930585606', '1008359310328508416']",1.0,1
411,"['1008357165495734272', '1008357662885638144']",4.0,2
412,"['1008363428380135424', '1008364271389028353']",1.0,1
413,"['1008363689567801345', '1008363937346310145']",1.0,1
414,"['1008364288959045632', '1008364469242748928']",20.0,9
415,"['1008361984453238784', '1008364112554942466']",36.0,6
416,"['1008362719395962880', '1008364480177287174']",1.0,1
417,"['1008363931545620480', '1008364363231776768']",20.0,9
418,"['1008363678805188608', '1008364381590220801']",4.0,2
419,"['1008358049696899072', '1008364156205109248']",1.0,1
420,"['1008363266744225792', '1008365935521075202']",4.0,2
421,"['1008359199594700805', '1008360318182051842']",81.0,9
422,"['1008361386278375424', '1008363846589927424']",1.0,1
423,"['1008366385569980418', '1008367312683094016']",1.0,1
424,"['1008364057450172416', '1008367327728070656']",1.0,1
425,"['1008367124157431809', '1008367592724049922']",49.0,7
426,"['1008365846094401536', '1008367680087355392']",1.0,1
427,"['1008366679997472770', '1008367680246730752']",4.0,2
428,"['1008366506932080640', '1008367682553606146']",1.0,1
429,"['1008364707500130306', '1008366391941005312']",81.0,9
430,"['1008362958823542787', '1008364057261412352']",1.0,1
431,"['1008363768231989248', '1008366967143714821']",144.0,12
432,"['1008365792335880192', '1008367418521972736']",4.0,2
433,"['1008366196239060994', '1008367453133557765']",1.0,1
434,"['1008359199594700805', '1008360318182051842']",81.0,9
435,"['1008362027885178881', '1008363551344513026']",1.0,1
436,"['1008365479352823808', '1008366672372092928']",1.0,1
437,"['1008365606524026880', '1008366699593306112']",1.0,1
438,"['1008362300984741888', '1008366561235750925']",1.0,1
439,"['1008366905961385986', '1008367793144619008']",1.0,1
440,"['1008367784840105984', '1008367804842557443']",1.0,1
441,"['1008358092017369089', '1008362761913544704']",1.0,1
442,"['1008360329649065985', '1008362775645753344']",4.0,2
443,"['1008361054596788224', '1008362990373167105']",1.0,1
444,"['1008365835570868226', '1008366931815084035']",1.0,1
445,"['1008365594784292864', '1008366932909875201']",10.0,3
446,"['1008366821181919232', '1008366948017692672']",1.0,1
447,"['1008362579985686528', '1008365056734760960']",1.0,1
448,"['1008363071256002561', '1008365059041579013']",1.0,1
449,"['1008364605687681025', '1008365068399017984']",4.0,2
450,"['1008364038387064833', '1008364641066672129']",16.0,4
451,"['1008361131755425795', '1008361834460655617']",9.0,3
452,"['1008362533420503040', '1008363637319356416']",1.0,1
453,"['1008362974292119557', '1008363638397251584']",1.0,1
454,"['1008356718768685058', '1008363652783755264']",35.0,23
455,"['1008364371511271425', '1008367072294916096']",20.0,9
456,"['1008360329649065985', '1008362775645753344']",4.0,2
457,"['1008367343045677057', '1008368018609623043']",1.0,1
458,"['1008366905990811651', '1008368020236963840']",1.0,1
459,"['1008367503158865920', '1008368027883040768']",1.0,1
460,"['1008365768482881536', '1008366207861428224']",1.0,1
461,"['1008364768346951685', '1008366208826081280']",10.0,4
462,"['1008356939032596480', '1008366209849585664']",1.0,1
463,"['1008363324923371520', '1008366217067888641']",35.0,23
464,"['1008366004496420865', '1008366067993980928']",4.0,2
465,"['1008364558098944001', '1008366230493847552']",10.0,4
466,"['1008365468334284801', '1008366242049163264']",4.0,2
467,"['1008364707500130306', '1008366391941005312']",81.0,9
468,"['1008365411988013057', '1008366851766681600']",100.0,10
469,"['1008364361365237760', '1008367206630133766']",1.0,1
470,"['1008366309539708929', '1008366363423969281']",10.0,3
471,"['1008366901616095232', '1008367215203246080']",1.0,1
472,"['1008361858942808064', '1008363086020009984']",1.0,1
473,"['1008362476348542976', '1008363577537753089']",4.0,2
474,"['1008364707500130306', '1008366391941005312']",81.0,9
475,"['1008364939235463168', '1008365269494796289']",9.0,3
476,"['1008362576105877505', '1008365757250592768']",1.0,1
477,"['1008365582826311680', '1008365663595958272']",4.0,2
478,"['1008364271900741639', '1008364929580138497']",20.0,9
479,"['1008364077616386049', '1008364938430164994']",10.0,4
480,"['1008367384883843072', '1008367534465273857']",1.0,1
481,"['1008367124157431809', '1008367592724049922']",49.0,7
482,"['1008367476466479105', '1008367546590953472']",1.0,1
483,"['1008367407495303168', '1008367554283364352']",1.0,1
484,"['1008365815572369409', '1008367569089257472']",1.0,1
485,"['1008368040621363200', '1008368653220438016']",4.0,2
486,"['1008368191700074497', '1008368700284694528']",1.0,1
487,"['1008364068451651584', '1008365039210901504']",16.0,4
488,"['1008363680524853249', '1008363979490684928']",25.0,5
489,"['1008364278510804992', '1008365616615452672']",1.0,1
490,"['1008365553336094720', '1008365622303084544']",1.0,1
491,"['1008365411988013057', '1008366851766681600']",100.0,10
492,"['1008361084858916870', '1008361652998361088']",1.0,1
493,"['1008360522037841921', '1008361674108260352']",10.0,4
494,"['1008364260764934149', '1008365326143315969']",1.0,1
495,"['1008364394500194309', '1008365336532537344']",1.0,1
496,"['1008358088167116800', '1008365339359502336']",1.0,1
497,"['1008361809609445377', '1008362055299223552']",1.0,1
